STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-01,8.05,0.66,0,38,41,35
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-02,13.2,0.06,0,43,52,37
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-03,15.21,0.16,0.1,39,40,36
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-04,7.83,0.01,0,40,44,37
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-05,8.28,0,0,40,42,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-06,14.76,0,0,40,43,37
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-07,13.87,0,0,38,44,33
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-08,11.18,0,0,34,39,31
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-09,14.54,0,0,33,38,28
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-10,9.17,0,0,36,43,32
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-11,3.13,0,0,34,38,30
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-12,6.49,0,0,39,46,34
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-13,5.82,0,0,40,45,35
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-14,4.47,0,0,44,50,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-15,11.86,0.36,0,42,49,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-16,14.32,0.79,0,45,49,40
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-17,15.43,0,0,42,46,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-18,12.75,0,0,44,47,40
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-19,14.76,0,0,40,43,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-20,13.2,0.02,0.2,39,42,29
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-21,8.05,0,0,34,45,27
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-22,15.43,0,0,43,46,38
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-23,20.8,0,0,35,38,27
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-24,17.67,0,0,29,34,24
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-25,8.5,0,0,31,39,26
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-26,10.96,0.07,0.1,35,36,33
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-27,11.41,0,0,36,39,33
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-28,19.46,0,0,33,35,23
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-29,23.94,0,0,23,28,17
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-30,13.65,0,0,24,34,19
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-01-31,10.07,0.05,1.5,25,27,21
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-02-01,25.95,0.86,11.7,28,35,25
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-02-02,17.45,0.1,0.9,33,35,30
USW00014732,"LAGUARDIA AIRPORT, NY US",2021-02-03,13.87,0,0.2,33,38,30
